id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
3675,1910000,467541,5434,70,5470,1705728,10531573
3698,1920000,100626,3440,70,2590,1034370,20772214
10831,3700000,421890,5070,101,3695,1237930,15294609
3286,1820000,116302,11890,70,15384,1334020,7929344
10983,3740000,225416,5579,101,5057,1011508,15724753
526,1130000,89602,4465,11,4565,468675,21489876
7663,2910000,175548,3443,85,3649,825742,15561039
11897,3970000,221589,5230,78,6765,199308,35476064
4623,2150000,117082,4846,76,5498,625644,20683745
2443,1610000,154856,10086,11,9006,1444105,12202281
7771,2940000,220262,4620,85,4926,1104158,15214612
3001,1750000,366647,8919,70,7618,1811390,12277651
3410,1850000,163684,9639,70,12327,821430,13034531
3722,1930000,137098,3322,70,2854,983238,20448702
7166,2790000,145377,3984,56,3550,440184,19106519
8032,3000000,449398,4274,77,4098,902192,8604762
1196,1290000,151960,4326,11,3662,1126260,17238340
8344,3080000,223872,7076,77,5957,1277812,17628093
532,1130000,173790,9868,11,12136,1483892,13578985
5811,2450000,1149857,19926,81,18289,1253640,4515489
8923,3230000,247031,4045,142,4539,479966,25468700
9925,3480000,441316,5078,71,3844,1365586,15962360
5788,2440000,148778,3644,81,3402,982076,23270489
5313,2320000,120977,4229,81,4159,1003026,15810759
5947,2480000,123619,4875,56,5863,390274,23063941
8036,3000000,199786,3619,77,3435,324936,20927679
11307,3820000,301114,4366,78,4183,1205547,21281861
2631,1650000,120598,4561,11,4380,1049058,18662415
7843,2960000,165592,9456,77,11726,848133,893534
1852,1460000,83716,4099,11,4520,255702,36815656
8663,3160000,395606,11269,77,12666,1141111,18688319
4814,2200000,604060,9722,76,5213,1939750,3813084
5416,2350000,204625,17409,81,24178,1695770,13263442
6986,2740000,183444,4444,56,3811,889774,18172424
1211,1300000,64649,3675,11,3360,1061100,23450185
172,1040000,24029,4294,13,7013,275408,72899305
2300,1570000,98830,4910,11,5465,851054,22768324
3248,1810000,97906,3745,70,4291,780504,16616328
2800,1700000,93813,4272,70,3381,1178846,17046937
7655,2910000,156569,3693,85,3407,866756,12927359
5735,2430000,125242,4876,81,4227,1161998,21747325
2802,1700000,90782,4914,70,4434,1106852,20045158
6028,2500000,285231,3678,56,4709,196608,6236640
10769,3690000,296978,5431,101,5655,1449245,13900019
69,1010000,17251,747,144,502,196608,30533567
2582,1640000,248093,10394,11,6524,2250332,12568873
4673,2160000,222707,6070,76,5999,1609264,11841312
5012,2250000,121657,4772,81,5752,897570,22328681
4940,2230000,409126,18401,76,25857,900959,11650128
5522,2380000,464718,14872,81,15803,1768790,4786331
4260,2060000,514545,6925,70,5853,1842932,11656736
7296,2820000,203996,8481,56,9032,1321414,14799852
